id,value
groups,
groups.group1,
groups.group1.programming,20
groups.group1.Boromir,10
groups.group1.Legolas,10
groups.group1.Lurtz(programmer),10
groups.group1.Gandalf(programmer),10
groups.group1.Isildur(programmer),10
groups.group1.Elrond(programmer),10
groups.group1.Bombur,10
groups.group1.Fili,10
groups.group2,
groups.group2.sports,20
groups.group2.Bombadil(programmer),9
groups.group2.Sam,9
groups.group2.Sauron(programmer),9
groups.group2.Galadriel,9
groups.group2.Haldir,9
groups.group2.Gimli,9
groups.group2.Borin,9
groups.group2.Maiar,9
groups.group3,
groups.group3.gaming,20
groups.group3.Gamgee(programmer),8
groups.group3.Theoden(programmer),8
groups.group3.Irolas,8
groups.group3.Smeagol,8
groups.group3.Gorbag,8
groups.group3.Ugluk(programmer),8
groups.group3.Mauhur,8
groups.group3.Morwen,8
groups.group4,
groups.group4.design,20
groups.group4.Bilbo,7
groups.group4.Pippin(programmer),7
groups.group4.Aldor,7
groups.group4.Ferny,7
groups.group4.Quickbeam,7
groups.group4.Balin,7
groups.group4.Bifur,7
groups.group4.Bofur(programmer),7
groups.group5,
groups.group5.music,20
groups.group5.Gollum,6
groups.group5.Madril,6
groups.group5.Eldarion(programmer),6
groups.group5.Eothain(programmer),6
groups.group5.Eomer(programmer),6
groups.group5.Pelendur(programmer),6
groups.group5.Oin,6
groups.group6,
groups.group6.travel,20
groups.group6.Celeborn,5
groups.group6.Merry,5
groups.group6.Denethor(programmer),5
groups.group6.Eowyn,5
groups.group6.Bereg,5
groups.group6.Dorlas,5
groups.group6.Dwalin(programmer),5
groups.group7,
groups.group7.cooking,20
groups.group7.Aragorn,4
groups.group7.Uruk(programmer),4
groups.group7.Grimbold(programmer),4
groups.group7.Faramir,4
groups.group7.Theodred(programmer),4
groups.group7.Hardang(programmer),4
groups.group7.Kili,4
groups.group8,4
groups.group8.movies,20
groups.group8.Elendil(programmer),3
groups.group8.Shagrat,3
groups.group8.Sharku,3
groups.group8.Haleth,3
groups.group8.Idril,3
groups.group8.Nessa,3
groups.group8.Rian(programmer),3
groups.group9,
groups.group9.reading-politics-education,20
groups.group9.Frodo,2
groups.group9.Arwen(programmer),2
groups.group9.Otho,2
groups.group9.Damrod,2
groups.group9.Deagol,2
groups.group9.Hama(programmer),2
groups.group9.Freda,2
groups.group10,
groups.group10.unspecified,20
groups.group10.Bounder(programmer),1
groups.group10.Grishnakh(programmer),1
groups.group10.Elendur,1
groups.group10.Lindir,1
groups.group10.Ohtar,1
groups.group10.Smaug,1
groups.group10.Thorin,1
